x,y
542,812
123,456
891,22
34,710
956,334
112,889
674,12
445,678
23,901
550,443
812,11
19,234
667,890
331,445
778,123
99,567
432,111
88,765
223,444
654,321
12,987
555,222
888,333
111,444
666,555
999,666
222,777
444,888
777,999
33,123
66,456
99,789
12,159
45,487
78,741
96,325
85,214
74,103
63,258
52,147
41,036
30,965
29,874
18,765
0,654
123,321
456,654
789,987
147,258
369,852
258,147
159,357
753,159
951,357
357,951
456,123
789,456
123,789
987,654
654,321
321,987
111,222
333,444
555,666
777,888
999,111
123,987
456,321
789,654
159,753
357,159
753,951
951,753
258,369
147,963
369,258
963,147
852,741
741,852
123,321
456,789
789,123
159,357
753,951
147,258
369,258
147,852
258,963
369,147
159,482
753,159
482,753
159,357
753,159
258,456
147,789
369,123
951,357
159,951
753,159
852,147
741,258
123,456
456,789
789,123
159,357
753,951
147,258
369,147
258,369
147,963
369,258
951,357
159,753
753,951
258,147
147,369
369,147
741,258
852,369
963,147
123,654
456,987
789,321
159,852
753,369
147,741
369,258
258,963
147,852
369,147
951,753
159,357
753,159
258,456
147,789
369,123
852,147
741,258
123,456
456,789
789,123
159,357
753,951
147,258
369,147
258,369
147,963
369,258
951,357
159,753
753,951
258,147
147,369
369,147
741,258
852,369
963,147
123,654
456,987
789,321
159,852
753,369
147,741
369,258
258,963
147,852
369,147
951,753
159,357
753,159
258,456
147,789
369,123
852,147
741,258
123,456
456,789
789,123
159,357
753,951
147,258
369,147
258,369
147,963
369,258
951,357
159,753
753,951
258,147
147,369
369,147
741,258
852,369
963,147
123,654
456,987
789,321
159,852
753,369
147,741
369,258
258,963
147,852
369,147
951,753
159,357
753,159
258,456
147,789
369,123
852,147
741,258
123,456
456,789
789,123
159,357
753,951
147,258
369,147
258,369
147,963
369,258
951,357
159,753
753,951
258,147
147,369
369,147
741,258
852,369
963,147
123,654
456,987
789,321
159,852
753,369
147,741
369,258
258,963
147,852
369,147
951,753
159,357
753,159
258,456
147,789
369,123
852,147
741,258
123,456
456,789
789,123
159,357
753,951
147,258
369,147
258,369
147,963
369,258
951,357
159,753
753,951
258,147
147,369
369,147
741,258
852,369
963,147
123,654
456,987
789,321
159,852
753,369
147,741
369,258
258,963
147,852
369,147
951,753
159,357
753,159
258,456
147,789
369,123
852,147
741,258
123,456
456,789
789,123
159,357
753,951
147,258
369,147
258,369
147,963
369,258
951,357
159,753
753,951
258,147
147,369
369,147
741,258
852,369
963,147
123,654
456,987
789,321
159,852
753,369
147,741
369,258
258,963
147,852
369,147
951,753
159,357
753,159
258,456
147,789
369,123
852,147
741,258
123,456
456,789
789,123
159,357
753,951
147,258
369,147
258,369
147,963
369,258
951,357
159,753
753,951
258,147
147,369
369,147
741,258
852,369
963,147
123,654
456,987
789,321
159,852
753,369
147,741
369,258
258,963
147,852
369,147
951,753
159,357
753,159
258,456
147,789
369,123
852,147
741,258
123,456
456,789
789,123
159,357
753,951
147,258
369,147
258,369
147,963
369,258
951,357
159,753
753,951
258,147
147,369
369,147
741,258
852,369
963,147
123,654
456,987
789,321
159,852
753,369
147,741
369,258
258,963
147,852
369,147
951,753
159,357
753,159
258,456
147,789
369,123
852,147
741,258
123,456
456,789
789,123
159,357
753,951
147,258
369,147
258,369
147,963
369,258
951,357
159,753
753,951
258,147
147,369
369,147
741,258
852,369
963,147
123,654
456,987
789,321
159,852
753,369
147,741
369,258
258,963
147,852
369,147
951,753
159,357
753,159
258,456
147,789
369,123
852,147
741,258
123,456
456,789
789,123
159,357
753,951
147,258
369,147
258,369
147,963
369,258
951,357
159,753
753,951
258,147
147,369
369,147
741,258
852,369
963,147
123,654
456,987
789,321
159,852
753,369
147,741
369,258
258,963
147,852
369,147
951,753
159,357
753,159
258,456
147,789
369,123
852,147
741,258
123,456
456,789
789,123
159,357
753,951
147,258
369,147
258,369
147,963
369,258
951,357
159,753
753,951
258,147
